Date,series,OPEN,HIGH,LOW,PREV. CLOSE,ltp,close,vwap,52WH,52WL,VOLUME,VALUE,No of trades
15-Dec-23,EQ,"1,130.00","1,143.95","1,111.00","1,121.80","1,127.00","1,125.60","1,126.57","1,219.00",491.15,"4,81,923","54,29,20,710.10","23,357"
14-Dec-23,EQ,"1,104.55","1,127.00","1,091.05","1,098.20","1,121.20","1,121.80","1,112.35","1,219.00",491.15,"5,31,906","59,16,66,194.65","24,477"
13-Dec-23,EQ,"1,085.85","1,104.00","1,062.40","1,094.65","1,100.30","1,098.20","1,082.82","1,219.00",491.15,"4,31,066","46,67,66,744.15","24,734"
12-Dec-23,EQ,"1,075.00","1,107.00","1,068.50","1,069.35","1,094.75","1,094.65","1,093.97","1,219.00",491.15,"7,16,145","78,34,37,635.20","35,239"
11-Dec-23,EQ,"1,035.30","1,072.70","1,035.00","1,032.15","1,066.75","1,069.35","1,057.44","1,219.00",491.15,"5,82,460","61,59,15,461.25","27,293"
08-Dec-23,EQ,"1,054.00","1,060.00","1,028.00","1,044.45","1,031.00","1,032.15","1,038.90","1,219.00",491.15,"1,84,917","19,21,11,032.45","13,524"
07-Dec-23,EQ,"1,050.80","1,052.25","1,023.80","1,050.80","1,045.00","1,044.45","1,035.16","1,219.00",491.15,"2,31,965","24,01,21,833.35","15,464"
06-Dec-23,EQ,"1,045.00","1,055.95","1,036.05","1,045.10","1,051.00","1,050.80","1,049.51","1,219.00",491.15,"3,32,990","34,94,76,285.45","17,758"
05-Dec-23,EQ,"1,028.05","1,052.95","1,013.50","1,018.00","1,045.00","1,045.10","1,031.35","1,219.00",491.15,"5,72,358","59,03,02,851.80","41,524"
04-Dec-23,EQ,"1,060.00","1,069.00","1,011.00","1,024.45","1,016.00","1,018.00","1,030.52","1,219.00",491.15,"14,12,302","1,45,54,01,324.85","51,902"
01-Dec-23,EQ,978,"1,032.50",972,966.4,"1,031.90","1,024.45","1,006.93","1,219.00",491.15,"9,69,408","97,61,30,810.80","45,922"
